ville,code_commune,departement,region,annee,score_sportif,score_economique
Grenoble,38185,Isère,Rhône-Alpes,2 012,"0,095","0,500"
Créteil,94028,Val-de-Marne,Île-de-France,2 012,"0,094","0,489"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 015,"0,093","0,495"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 022,"0,093","0,003"
Grenoble,38185,Isère,Rhône-Alpes,2 018,"0,091","0,530"
Thonon-les-Bains,74281,Haute-Savoie,Rhône-Alpes,2 016,"0,089","0,552"
Châteauroux,36044,Indre,Centre,2 014,"0,089","0,536"
Metz,57463,Moselle,Lorraine,2 012,"0,089","0,494"
Orléans,45234,Loiret,Centre,2 022,"0,089","0,009"
La Roche-sur-Yon,85191,Vendée,Pays de la Loire,2 019,"0,089","0,538"
Epinal,88160,Vosges,Lorraine,2 021,"0,089","0,531"
Cergy-Pontoise,95127,Val d'Oise,Île-de-France,2 018,"0,089","0,516"
Anglet,64024,Pyrénées-Atlantiques,Aquitaine,2 013,"0,089","0,504"
Saint-Gervais-les-Bains,74236,Haute-Savoie,Rhône-Alpes,2 015,"0,089","0,416"
Saint-Gervais-les-Bains,74236,Haute-Savoie,Rhône-Alpes,2 014,"0,089","0,411"
Rodez,12202,Aveyron,Midi-Pyrénées,2 022,"0,088","0,002"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 018,"0,088","0,502"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 023,"0,088","0,003"
Béziers,34032,Hérault,Languedoc-Roussillon,2 019,"0,086","0,535"
Denain,59172,Nord,Nord-Pas-de-Calais,2 016,"0,086","0,626"
Vichy,03310,Allier,Auvergne,2 020,"0,086","0,575"
Saint-quentin,02691,Aisne,Picardie,2 013,"0,086","0,575"
Quimper,29232,Finistère,Bretagne,2 019,"0,086","0,529"
Souffelweyersheim,67471,Bas-Rhin,Alsace,2 014,"0,086","0,526"
Fos-sur-mer,13039,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 015,"0,086","0,514"
Souffelweyersheim,67471,Bas-Rhin,Alsace,2 021,"0,086","0,509"
Saint-chamond,42207,Loire,Rhône-Alpes,2 017,"0,086","0,508"
Saint-chamond,42207,Loire,Rhône-Alpes,2 023,"0,086","0,002"
Boulogne-sur-mer,62160,Pas-de-Calais,Nord-Pas-de-Calais,2 015,"0,085","0,618"
Dax,40088,Landes,Aquitaine,2 013,"0,083","0,609"
Tarbes,65440,Hautes-Pyrénées,Midi-Pyrénées,2 015,"0,083","0,545"
Tarbes,65440,Hautes-Pyrénées,Midi-Pyrénées,2 012,"0,083","0,527"
Montauban,82121,Tarn-et-Garonne,Midi-Pyrénées,2 016,"0,083","0,524"
Montauban,82121,Tarn-et-Garonne,Midi-Pyrénées,2 019,"0,083","0,519"
Cherbourg,50129,Manche,Basse-Normandie,2 018,"0,083","0,517"
Besancon,25056,Doubs,Franche-Comté,2 021,"0,083","0,514"
Pontault-combault,77373,Seine-et-Marne,Île-de-France,2 014,"0,083","0,500"
Pontault-combault,77373,Seine-et-Marne,Île-de-France,2 015,"0,083","0,494"
Besancon,25056,Doubs,Franche-Comté,2 022,"0,083","0,007"
Cherbourg,50129,Manche,Basse-Normandie,2 023,"0,083","0,003"
Créteil,94028,Val-de-Marne,Île-de-France,2 022,"0,081","0,008"
Boulogne-sur-mer,62160,Pas-de-Calais,Nord-Pas-de-Calais,2 014,"0,080","0,603"
Chartres,28085,Eure-et-Loir,Centre,2 012,"0,080","0,502"
Niort,79191,Deux-Sèvres,Poitou-Charentes,2 020,"0,080","0,535"
Laval,53130,Mayenne,Pays de la Loire,2 017,"0,079","0,506"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 015,"0,079","0,524"
Oyonnax,01283,Ain,Rhône-Alpes,2 012,"0,078","0,501"
Créteil,94028,Val-de-Marne,Île-de-France,2 021,"0,077","0,523"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 017,"0,076","0,500"
Saint-Ouen,93070,Seine-Saint-Denis,Île-de-France,2 019,"0,073","0,553"
Valence,26362,Drôme,Rhône-Alpes,2 014,"0,073","0,539"
Massy,91377,Essonne,Île-de-France,2 014,"0,073","0,503"
Massy,91377,Essonne,Île-de-France,2 022,"0,073","0,005"
Créteil,94028,Val-de-Marne,Île-de-France,2 017,"0,073","0,507"
Créteil,94028,Val-de-Marne,Île-de-France,2 013,"0,073","0,494"
Petit-Quevilly,76498,Seine-Maritime,Haute-Normandie,2 018,"0,072","0,560"
Chartres,28085,Eure-et-Loir,Centre,2 014,"0,071","0,510"
Créteil,94028,Val-de-Marne,Île-de-France,2 020,"0,069","0,517"
Créteil,94028,Val-de-Marne,Île-de-France,2 023,"0,069","0,009"
Saint-quentin,02691,Aisne,Picardie,2 015,"0,068","0,602"
Denain,59172,Nord,Nord-Pas-de-Calais,2 013,"0,068","0,570"
Vichy,03310,Allier,Auvergne,2 017,"0,068","0,564"
Gries,67169,Bas-Rhin,Alsace,2 020,"0,068","0,515"
Saint-chamond,42207,Loire,Rhône-Alpes,2 016,"0,068","0,508"
Denain,59172,Nord,Nord-Pas-de-Calais,2 023,"0,068","0,001"
Saint-vallier,26333,Drôme,Rhône-Alpes,2 022,"0,068","0,000"
Châteauroux,36044,Indre,Centre,2 015,"0,067","0,538"
Courbevoie,92026,Hauts-de-Seine,Île-de-France,2 016,"0,067","0,582"
Saint-Gervais-les-Bains,74236,Haute-Savoie,Rhône-Alpes,2 013,"0,067","0,408"
Courchevel,73227,Savoie,Rhône-Alpes,2 018,"0,067","0,402"
Morzine,74191,Haute-Savoie,Rhône-Alpes,2 023,"0,067","0,000"
Boulogne-sur-mer,62160,Pas-de-Calais,Nord-Pas-de-Calais,2 013,"0,066","0,581"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 014,"0,066","0,515"
Niort,79191,Deux-Sèvres,Poitou-Charentes,2 021,"0,066","0,530"
Valence,26362,Drôme,Rhône-Alpes,2 013,"0,065","0,523"
Chambly,60139,Oise,Picardie,2 021,"0,065","0,517"
Béziers,34032,Hérault,Languedoc-Roussillon,2 018,"0,063","0,530"
Tours,37261,Indre-et-Loire,Centre,2 018,"0,062","0,549"
Dax,40088,Landes,Aquitaine,2 014,"0,062","0,613"
Angoulême,16015,Charente,Poitou-Charentes,2 018,"0,062","0,597"
Vannes,56260,Morbihan,Bretagne,2 017,"0,062","0,543"
Tarbes,65440,Hautes-Pyrénées,Midi-Pyrénées,2 016,"0,062","0,540"
Colomiers,31149,Haute-Garonne,Midi-Pyrénées,2 019,"0,062","0,534"
Bourgoin-Jallieu,38053,Isère,Rhône-Alpes,2 015,"0,062","0,521"
Montauban,82121,Tarn-et-Garonne,Midi-Pyrénées,2 020,"0,062","0,514"
Sarrebourg,57360,Moselle,Lorraine,2 021,"0,062","0,495"
Aurillac,15014,Cantal,Auvergne,2 012,"0,062","0,456"
Semur-en-auxois,21603,Côte-d'Or,Bourgogne,2 013,"0,062","0,449"
Besancon,25056,Doubs,Franche-Comté,2 023,"0,062","0,007"
Montauban,82121,Tarn-et-Garonne,Midi-Pyrénées,2 023,"0,062","0,005"
Agen,47001,Lot-et-Garonne,Aquitaine,2 022,"0,062","0,002"
Créteil,94028,Val-de-Marne,Île-de-France,2 019,"0,060","0,517"
Béziers,34032,Hérault,Languedoc-Roussillon,2 016,"0,057","0,525"
Sedan,08409,Ardennes,Champagne-Ardenne,2 013,"0,056","0,609"
Caen,14118,Calvados,Basse-Normandie,2 021,"0,056","0,531"
Istres,13047,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 016,"0,053","0,501"
Massy,91377,Essonne,Île-de-France,2 023,"0,052","0,005"
Orléans,45234,Loiret,Centre,2 023,"0,052","0,009"
Denain,59172,Nord,Nord-Pas-de-Calais,2 019,"0,051","0,627"
Saint-vallier,26333,Drôme,Rhône-Alpes,2 013,"0,051","0,575"
Charleville-mézières,08105,Ardennes,Champagne-Ardenne,2 016,"0,051","0,567"
Evreux,27229,Eure,Haute-Normandie,2 020,"0,051","0,553"
Roanne,42187,Loire,Rhône-Alpes,2 017,"0,051","0,544"
Aix-les-bains,73008,Savoie,Rhône-Alpes,2 021,"0,051","0,541"
Quimper,29232,Finistère,Bretagne,2 018,"0,051","0,524"
Souffelweyersheim,67471,Bas-Rhin,Alsace,2 015,"0,051","0,517"
Portel,62667,Pas-de-Calais,Nord-Pas-de-Calais,2 012,"0,051","0,502"
Aix-les-bains,73008,Savoie,Rhône-Alpes,2 023,"0,051","0,002"
Amiens,80021,Somme,Picardie,2 014,"0,048","0,534"
Amiens,80021,Somme,Picardie,2 013,"0,048","0,528"
Amiens,80021,Somme,Picardie,2 015,"0,046","0,530"
Amiens,80021,Somme,Picardie,2 016,"0,046","0,528"
Courbevoie,92026,Hauts-de-Seine,Île-de-France,2 015,"0,044","0,576"
Courbevoie,92026,Hauts-de-Seine,Île-de-France,2 014,"0,044","0,575"
La Roche-sur-Yon,85191,Vendée,Pays de la Loire,2 016,"0,044","0,538"
Annecy,74010,Haute-Savoie,Rhône-Alpes,2 018,"0,044","0,531"
Annecy,74010,Haute-Savoie,Rhône-Alpes,2 013,"0,044","0,502"
Saint-Gervais-les-Bains,74236,Haute-Savoie,Rhône-Alpes,2 012,"0,044","0,403"
Niort,79191,Deux-Sèvres,Poitou-Charentes,2 023,"0,044","0,003"
Créteil,94028,Val-de-Marne,Île-de-France,2 018,"0,043","0,510"
Carcassonne,11069,Aude,Languedoc-Roussillon,2 016,"0,041","0,601"
Carcassonne,11069,Aude,Languedoc-Roussillon,2 018,"0,041","0,577"
Narbonne,11262,Aude,Languedoc-Roussillon,2 015,"0,041","0,572"
Carcassonne,11069,Aude,Languedoc-Roussillon,2 014,"0,041","0,568"
Saint-gratien,95555,Val d'Oise,Île-de-France,2 017,"0,041","0,537"
Narbonne,11262,Aude,Languedoc-Roussillon,2 012,"0,041","0,535"
Gonfreville l'Orcher,76305,Seine-Maritime,Haute-Normandie,2 013,"0,041","0,522"
Besancon,25056,Doubs,Franche-Comté,2 020,"0,041","0,516"
Besancon,25056,Doubs,Franche-Comté,2 018,"0,041","0,514"
Aurillac,15014,Cantal,Auvergne,2 019,"0,041","0,503"
Aurillac,15014,Cantal,Auvergne,2 020,"0,041","0,503"
Auch,32013,Gers,Midi-Pyrénées,2 013,"0,041","0,483"
Angoulême,16015,Charente,Poitou-Charentes,2 023,"0,041","0,003"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 013,"0,041","0,501"
Valence,26362,Drôme,Rhône-Alpes,2 015,"0,041","0,541"
Valence,26362,Drôme,Rhône-Alpes,2 021,"0,041","0,539"
Béziers,34032,Hérault,Languedoc-Roussillon,2 020,"0,040","0,526"
Béziers,34032,Hérault,Languedoc-Roussillon,2 023,"0,040","0,008"
Béziers,34032,Hérault,Languedoc-Roussillon,2 022,"0,040","0,007"
Bourg-en-Bresse,01053,Ain,Rhône-Alpes,2 012,"0,037","0,487"
Béziers,34032,Hérault,Languedoc-Roussillon,2 015,"0,034","0,522"
Béziers,34032,Hérault,Languedoc-Roussillon,2 014,"0,034","0,508"
Charleville-mézières,08105,Ardennes,Champagne-Ardenne,2 015,"0,034","0,559"
Roanne,42187,Loire,Rhône-Alpes,2 016,"0,034","0,556"
Denain,59172,Nord,Nord-Pas-de-Calais,2 012,"0,034","0,552"
Aix-les-bains,73008,Savoie,Rhône-Alpes,2 019,"0,034","0,532"
Aix-les-bains,73008,Savoie,Rhône-Alpes,2 020,"0,034","0,532"
Aix-les-bains,73008,Savoie,Rhône-Alpes,2 017,"0,034","0,527"
Poitiers,86194,Vienne,Poitou-Charentes,2 018,"0,034","0,518"
Saint-chamond,42207,Loire,Rhône-Alpes,2 021,"0,034","0,503"
Quimper,29232,Finistère,Bretagne,2 022,"0,034","0,004"
Mulhouse,68224,Haut-Rhin,Alsace,2 020,"0,032","0,583"
Massy,91377,Essonne,Île-de-France,2 012,"0,031","0,477"
Châteauroux,36044,Indre,Centre,2 021,"0,031","0,533"
Boulogne-sur-mer,62160,Pas-de-Calais,Nord-Pas-de-Calais,2 016,"0,028","0,624"
Mulhouse,68224,Haut-Rhin,Alsace,2 018,"0,028","0,602"
Mulhouse,68224,Haut-Rhin,Alsace,2 021,"0,028","0,577"
Mulhouse,68224,Haut-Rhin,Alsace,2 023,"0,028","0,007"
Mulhouse,68224,Haut-Rhin,Alsace,2 019,"0,025","0,603"
Valence,26362,Drôme,Rhône-Alpes,2 017,"0,024","0,538"
Valence,26362,Drôme,Rhône-Alpes,2 020,"0,024","0,537"
Mulhouse,68224,Haut-Rhin,Alsace,2 022,"0,024","0,008"
Béziers,34032,Hérault,Languedoc-Roussillon,2 017,"0,023","0,527"
Béziers,34032,Hérault,Languedoc-Roussillon,2 021,"0,023","0,526"
Cergy-Pontoise,95127,Val d'Oise,Île-de-France,2 012,"0,022","0,495"
Saint-Gervais-les-Bains,74236,Haute-Savoie,Rhône-Alpes,2 016,"0,022","0,420"
Dax,40088,Landes,Aquitaine,2 016,"0,021","0,619"
Dax,40088,Landes,Aquitaine,2 015,"0,021","0,609"
Dax,40088,Landes,Aquitaine,2 017,"0,021","0,607"
Dax,40088,Landes,Aquitaine,2 018,"0,021","0,579"
Auch,32013,Gers,Midi-Pyrénées,2 014,"0,021","0,495"
Carcassonne,11069,Aude,Languedoc-Roussillon,2 023,"0,021","0,003"
Tours,37261,Indre-et-Loire,Centre,2 020,"0,020","0,549"
Mulhouse,68224,Haut-Rhin,Alsace,2 017,"0,020","0,600"
Béziers,34032,Hérault,Languedoc-Roussillon,2 012,"0,017","0,504"
Saint-quentin,02691,Aisne,Picardie,2 017,"0,017","0,588"
Saint-quentin,02691,Aisne,Picardie,2 020,"0,017","0,580"
Antibes,06004,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2 021,"0,017","0,553"
Souffelweyersheim,67471,Bas-Rhin,Alsace,2 016,"0,017","0,521"
Aix-les-bains,73008,Savoie,Rhône-Alpes,2 015,"0,017","0,520"
Quimper,29232,Finistère,Bretagne,2 012,"0,017","0,499"
Orchies,59449,Nord,Nord-Pas-de-Calais,2 014,"0,017","0,498"
Quimper,29232,Finistère,Bretagne,2 023,"0,017","0,004"
Tours,37261,Indre-et-Loire,Centre,2 023,"0,016","0,011"
Valence,26362,Drôme,Rhône-Alpes,2 016,"0,016","0,537"
Valence,26362,Drôme,Rhône-Alpes,2 023,"0,016","0,005"
Arles,13004,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 015,"0,013","0,469"
Tours,37261,Indre-et-Loire,Centre,2 019,"0,011","0,555"
Tours,37261,Indre-et-Loire,Centre,2 021,"0,011","0,552"
Valence,26362,Drôme,Rhône-Alpes,2 022,"0,008","0,005"
Béziers,34032,Hérault,Languedoc-Roussillon,2 013,"0,006","0,500"
Tours,37261,Indre-et-Loire,Centre,2 022,"0,005","0,012"
Boulogne-sur-mer,62160,Pas-de-Calais,Nord-Pas-de-Calais,2 017,"0,000","0,613"
Angoulême,16015,Charente,Poitou-Charentes,2 021,"0,000","0,579"
Saint-vallier,26333,Drôme,Rhône-Alpes,2 014,"0,000","0,573"
Charleville-mézières,08105,Ardennes,Champagne-Ardenne,2 018,"0,000","0,570"
Narbonne,11262,Aude,Languedoc-Roussillon,2 018,"0,000","0,569"
Albi,81004,Tarn,Midi-Pyrénées,2 015,"0,000","0,551"
Albi,81004,Tarn,Midi-Pyrénées,2 017,"0,000","0,547"
Albi,81004,Tarn,Midi-Pyrénées,2 016,"0,000","0,547"
Bourgoin-Jallieu,38053,Isère,Rhône-Alpes,2 017,"0,000","0,539"
Albi,81004,Tarn,Midi-Pyrénées,2 014,"0,000","0,539"
Vichy,03310,Allier,Auvergne,2 012,"0,000","0,535"
Charleville-mézières,08105,Ardennes,Champagne-Ardenne,2 013,"0,000","0,532"
Périgueux,24322,Dordogne,Aquitaine,2 012,"0,000","0,525"
Albi,81004,Tarn,Midi-Pyrénées,2 013,"0,000","0,521"
Poitiers,86194,Vienne,Poitou-Charentes,2 020,"0,000","0,515"
Annecy,74010,Haute-Savoie,Rhône-Alpes,2 014,"0,000","0,515"
Valence,26362,Drôme,Rhône-Alpes,2 012,"0,000","0,515"
Poitiers,86194,Vienne,Poitou-Charentes,2 021,"0,000","0,510"
Orchies,59449,Nord,Nord-Pas-de-Calais,2 016,"0,000","0,503"
Amnéville,57019,Moselle,Lorraine,2 013,"0,000","0,503"
Albi,81004,Tarn,Midi-Pyrénées,2 012,"0,000","0,500"
Annecy,74010,Haute-Savoie,Rhône-Alpes,2 023,"0,000","0,012"
Narbonne,11262,Aude,Languedoc-Roussillon,2 022,"0,000","0,005"
Saint-vallier,26333,Drôme,Rhône-Alpes,2 023,"0,000","0,000"
