ville,code_commune,departement,region,annee,score_sportif,score_economique
Neuilly-sur-Marne,93050,Seine-Saint-Denis,Île-de-France,2 014,"0,200","0,503"
Neuilly-sur-Marne,93050,Seine-Saint-Denis,Île-de-France,2 016,"0,200","0,485"
Anglet,64024,Pyrénées-Atlantiques,Aquitaine,2 012,"0,200","0,483"
Epinal,88160,Vosges,Lorraine,2 022,"0,200","0,002"
Le Mans,72181,Sarthe,Pays de la Loire,2 014,"0,199","0,552"
Pau,64445,Pyrénées-Atlantiques,Aquitaine,2 016,"0,199","0,547"
Tours,37261,Indre-et-Loire,Centre,2 013,"0,198","0,518"
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,2 013,"0,198","0,578"
Laval,53130,Mayenne,Pays de la Loire,2 016,"0,196","0,499"
Auxerre,89024,Yonne,Bourgogne,2 018,"0,195","0,520"
Nanterre,92050,Hauts-de-Seine,Île-de-France,2 018,"0,195","0,531"
Rouen,76540,Seine-Maritime,Haute-Normandie,2 017,"0,195","0,547"
Le Mans,72181,Sarthe,Pays de la Loire,2 020,"0,194","0,569"
Sochaux,25547,Doubs,Franche-Comté,2 017,"0,194","0,515"
Le Havre,76351,Seine-Maritime,Haute-Normandie,2 019,"0,194","0,595"
Pau,64445,Pyrénées-Atlantiques,Aquitaine,2 018,"0,193","0,551"
Auxerre,89024,Yonne,Bourgogne,2 020,"0,193","0,516"
Nanterre,92050,Hauts-de-Seine,Île-de-France,2 012,"0,193","0,493"
Laval,53130,Mayenne,Pays de la Loire,2 023,"0,192","0,004"
Créteil,94028,Val-de-Marne,Île-de-France,2 015,"0,191","0,510"
Caen,14118,Calvados,Basse-Normandie,2 022,"0,190","0,009"
Rouen,76540,Seine-Maritime,Haute-Normandie,2 020,"0,189","0,548"
Nanterre,92050,Hauts-de-Seine,Île-de-France,2 013,"0,188","0,508"
Denain,59172,Nord,Nord-Pas-de-Calais,2 020,"0,188","0,617"
Portel,62667,Pas-de-Calais,Nord-Pas-de-Calais,2 013,"0,188","0,572"
Blois,41018,Loir-et-Cher,Centre,2 019,"0,188","0,537"
Blois,41018,Loir-et-Cher,Centre,2 021,"0,188","0,527"
Fos-sur-mer,13039,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2 014,"0,188","0,517"
Orchies,59449,Nord,Nord-Pas-de-Calais,2 015,"0,188","0,497"
Chalon-sur-saône,71076,Saône-et-Loire,Bourgogne,2 022,"0,188","0,003"
Le Mans,72181,Sarthe,Pays de la Loire,2 016,"0,188","0,566"
Pau,64445,Pyrénées-Atlantiques,Aquitaine,2 019,"0,186","0,555"
Orléans,45234,Loiret,Centre,2 017,"0,186","0,532"
Angoulême,16015,Charente,Poitou-Charentes,2 020,"0,186","0,593"
Biarritz,64122,Pyrénées-Atlantiques,Aquitaine,2 019,"0,186","0,564"
Carcassonne,11069,Aude,Languedoc-Roussillon,2 013,"0,186","0,552"
Nevers,58194,Nièvre,Bourgogne,2 018,"0,186","0,547"
Nevers,58194,Nièvre,Bourgogne,2 021,"0,186","0,524"
Saran,45302,Loiret,Centre,2 019,"0,186","0,508"
