region,annee,score_sportif,score_economique
Haute-Normandie,2 019,"0,177","0,3100"
Haute-Normandie,2 020,"0,126","0,3092"
Haute-Normandie,2 021,"0,122","0,3199"
Haute-Normandie,2 022,"0,188","0,3563"
Haute-Normandie,2 023,"0,178","0,3637"
Île-de-France,2 012,"0,245","0,4266"
Île-de-France,2 013,"0,301","0,4587"
Île-de-France,2 014,"0,299","0,4795"
Île-de-France,2 015,"0,300","0,4935"
Île-de-France,2 016,"0,297","0,5110"
Île-de-France,2 017,"0,297","0,5118"
Île-de-France,2 018,"0,334","0,5431"
Île-de-France,2 019,"0,357","0,5661"
Île-de-France,2 020,"0,370","0,5690"
Île-de-France,2 021,"0,384","0,5947"
Île-de-France,2 022,"0,381","0,5705"
Île-de-France,2 023,"0,378","0,5867"
Languedoc-Roussillon,2 012,"0,254","0,2947"
Languedoc-Roussillon,2 013,"0,321","0,3246"
Languedoc-Roussillon,2 014,"0,275","0,3537"
Languedoc-Roussillon,2 015,"0,260","0,3820"
Languedoc-Roussillon,2 016,"0,231","0,3918"
Languedoc-Roussillon,2 017,"0,253","0,4037"
Languedoc-Roussillon,2 018,"0,277","0,4143"
Languedoc-Roussillon,2 019,"0,335","0,4279"
Languedoc-Roussillon,2 020,"0,304","0,4193"
Languedoc-Roussillon,2 021,"0,307","0,4243"
Languedoc-Roussillon,2 022,"0,276","0,4326"
Languedoc-Roussillon,2 023,"0,227","0,4525"
Limousin,2 012,"0,308","0,0939"
Limousin,2 013,"0,320","0,1220"
Limousin,2 014,"0,450","0,1419"
Limousin,2 015,"0,514","0,1659"
Limousin,2 016,"0,492","0,1708"
Limousin,2 017,"0,479","0,1828"
Limousin,2 018,"0,454","0,1965"
Limousin,2 019,"0,463","0,2044"
Limousin,2 020,"0,475","0,2049"
Limousin,2 021,"0,482","0,2091"
Limousin,2 022,"0,497","0,2064"
Limousin,2 023,"0,409","0,2166"
Lorraine,2 012,"0,331","0,2160"
Lorraine,2 013,"0,250","0,2490"
Lorraine,2 014,"0,403","0,2668"
Lorraine,2 015,"0,425","0,2718"
Lorraine,2 016,"0,432","0,2768"
Lorraine,2 017,"0,443","0,2796"
Lorraine,2 018,"0,317","0,2875"
Lorraine,2 019,"0,286","0,3057"
Lorraine,2 020,"0,359","0,3072"
Lorraine,2 021,"0,199","0,3060"
Lorraine,2 022,"0,254","0,3317"
Lorraine,2 023,"0,248","0,3478"
Midi-Pyrénées,2 012,"0,299","0,1706"
Midi-Pyrénées,2 013,"0,225","0,1935"
Midi-Pyrénées,2 014,"0,220","0,2186"
Midi-Pyrénées,2 015,"0,179","0,2504"
Midi-Pyrénées,2 016,"0,199","0,2609"
Midi-Pyrénées,2 017,"0,305","0,2918"
Midi-Pyrénées,2 018,"0,383","0,3042"
Midi-Pyrénées,2 019,"0,305","0,3174"
Midi-Pyrénées,2 020,"0,269","0,2740"
Midi-Pyrénées,2 021,"0,281","0,2924"
Midi-Pyrénées,2 022,"0,319","0,3024"
Midi-Pyrénées,2 023,"0,272","0,3152"
Nord-Pas-de-Calais,2 012,"0,301","0,2646"
Nord-Pas-de-Calais,2 013,"0,292","0,2933"
Nord-Pas-de-Calais,2 014,"0,288","0,3142"
Nord-Pas-de-Calais,2 015,"0,260","0,3246"
Nord-Pas-de-Calais,2 016,"0,224","0,3356"
Nord-Pas-de-Calais,2 017,"0,293","0,3431"
Nord-Pas-de-Calais,2 018,"0,298","0,3592"
Nord-Pas-de-Calais,2 019,"0,325","0,3823"
Nord-Pas-de-Calais,2 020,"0,354","0,3831"
Nord-Pas-de-Calais,2 021,"0,392","0,4029"
Nord-Pas-de-Calais,2 022,"0,402","0,4501"
Nord-Pas-de-Calais,2 023,"0,446","0,4723"
Pays de la Loire,2 012,"0,261","0,1437"
Pays de la Loire,2 013,"0,252","0,1707"
Pays de la Loire,2 014,"0,256","0,1969"
Pays de la Loire,2 015,"0,294","0,2086"
Pays de la Loire,2 016,"0,247","0,2202"
