Club,Année,Droits audiovisuels,Sponsors - Publicité,Recettes matches,Autres produits,Rémunération personnel,Autres charges
Olympique Lyonnais,2023,95201,62505,39142,61512,147448,75928
Olympique de Marseille,2023,165666,372817,67572,201285,621183,181985
AS Monaco,2023,49232,16371,2626,42663,112946,41145
Montpellier Hérault SC,2023,35567,7523,3237,6195,51663,16932
FC Nantes,2023,30906,11045,16859,21828,50070,27738
OGC Nice,2023,31142,36450,6703,23493,104511,41668
Paris Saint-Germain,2023,46433,6158,4950,285014,43957,20178
Stade de Reims,2023,1856,618,4850,28214,46397,21788
Stade Rennais FC,2023,46532,18097,11917,32508,116234,24343
RC Strasbourg Alsace,2023,17902,15224,8315,20622,45083,21361
Toulouse FC,2023,17794,7387,8801,12760,32530,19785
ES Troyes AC,2023,13847,5548,2871,18842,37821,13307
Amiens SC,2023,4430,2001,1978,3578,10592,9829
Annecy FC,2023,4197,3769,1366,1674,5844,5390
SC Bastia,2023,4233,2967,1514,3943,6472,6198
Girondins de Bordeaux,2023,12949,3950,5133,10813,42471,24443
SM Caen,2023,4874,4163,2715,3062,14714,7167
Dijon FCO,2023,7362,5825,789,3391,14837,10909
Grenoble Foot 38,2023,4211,2556,1038,2759,7802,5079
En Avant Guingamp,2023,5664,4132,1516,1491,10241,7584
Stade Lavallois Mayenne,2023,3431,2284,1056,1468,5592,3103
Le Havre AC,2023,5731,5336,2135,5997,15716,13024
FC Metz,2023,8958,5958,3653,13373,21804,22452
Nîmes Olympique,2023,4619,811,831,2259,7260,3884
Chamois Niortais,2023,4035,770,408,2144,5546,3217
Paris FC,2023,4786,6680,409,3257,16177,8254
Pau FC,2023,3780,2420,667,2695,5829,3484
Quevilly Rouen Métropole,2023,4747,1724,525,1440,6230,2510
Rodez AF,2023,4433,701,899,3446,6082,3441
AS Saint-Étienne,2023,5754,6877,2955,4844,27416,18563
FC Sochaux-Montbéliard,2023,5310,2515,2481,2273,19654,9988
