Club,Année,Droits audiovisuels,Sponsors - Publicité,Recettes matches,Autres produits,Rémunération personnel,Autres charges
Toulouse FC,2014,22678.0,5847.0,2355.0,3905.0,29735.0,46262.0
Valenciennes FC,2014,15719.0,5124.0,2530.0,1445.0,20275.0,32840.0
Angers SCO,2014,5505.0,2194.0,1176.0,2095.0,7521.0,11049.0
AC Arles Avignon,2014,4116.0,655.0,260.0,1018.0,5202.0,7575.0
AJ Auxerre,2014,6413.0,1785.0,550.0,1432.0,11244.0,18334.0
CA Bastia,2014,4060.0,389.0,282.0,342.0,2903.0,4552.0
Stade Brestois 29,2014,6801.0,4903.0,1154.0,1486.0,9138.0,16532.0
SM Caen,2014,6637.0,4144.0,2167.0,3112.0,11760.0,20064.0
Châteauroux,2014,4626.0,1358.0,580.0,1321.0,6088.0,9258.0
Clermont Foot,2014,4135.0,1575.0,255.0,1073.0,5109.0,7269.0
US Créteil-Lusitanos,2014,4312.0,1216.0,186.0,2254.0,5050.0,6849.0
Dijon FCO,2014,5979.0,2904.0,973.0,2303.0,8723.0,14226.0
FC Istres,2014,4544.0,298.0,271.0,1480.0,4048.0,6654.0
Stade Lavallois,2014,4641.0,1795.0,918.0,752.0,6200.0,9103.0
Havre AC,2014,4956.0,2964.0,724.0,4451.0,8334.0,16954.0
RC Lens,2014,6484.0,3021.0,4846.0,2063.0,22866.0,36885.0
FC Metz,2014,5741.0,2480.0,2844.0,2411.0,9975.0,17800.0
AS Nancy-Lorraine,2014,7060.0,3214.0,1217.0,2989.0,9503.0,19616.0
Nîmes Olympique,2014,4627.0,1339.0,943.0,1012.0,5538.0,8502.0
ESTAC Troyes,2014,7560.0,2760.0,2650.0,3540.0,8205.0,30500.0
Chamois Niortais,2014,5012.0,3201.0,1875.0,2895.0,7021.0,27005.0
Tours FC,2014,6010.0,2350.0,2001.0,2781.0,8500.0,25890.0
Olympique Lyonnais,2014,0.0,0.0,0.0,0.0,0.0,0.0
FC Girondins de Bordeaux,2015,37528,10274,8212,9018,46019,26961
Stade Malherbe Caen,2015,18647,5281,4271,3009,24021,12523
Dijon Football Côte-d’Or,2015,17702,5187,2733,3351,17922,6890
En Avant de Guingamp,2015,23768,5261,3727,2045,25502,10531
LOSC Lille,2015,34565,10077,6974,2514,57853,38153
FC Lorient,2015,17867,4448,2205,2771,24642,10935
Olympique Lyonnais,2015,239950,197261,48749,28865,108173,0
Olympique de Marseille,2015,48727,30613,13823,14315,86670,48484
FC Metz,2015,19282,5174,5172,1517,19585,12195
AS Monaco,2015,108607,18222,8028,7828,97812,29129
Montpellier Hérault SC,2015,23731,6232,1847,7683,33253,15311
AS Nancy Lorraine,2015,16845,4770,3276,2781,18065,10230
FC Nantes,2015,26550,8014,6720,973,25769,14529
OGC Nice,2015,43521,10063,5700,7891,48905,18352
Paris Saint-Germain,2015,120951,153156,41440,183482,271169,138483
Stade Rennais FC,2015,31414,10003,4906,3508,40032,12758
AS Saint-Étienne,2015,50489,10610,7047,7747,46202,21707
Toulouse FC,2015,22687,5342,3644,4510,29601,11565
AC Ajaccio,2015,5213,1099,442,1653,6156,4605
Gazelec FC Ajaccio,2015,6628,762,509,693,5624,2695
Amiens SC,2015,5460,1530,1600,1451,6232,3407
AJ Auxerre,2015,5482,1876,436,1214,9588,5972
Stade Brestois 29,2015,5648,6250,1227,1788,9344,5821
Clermont Foot 63,2015,4903,1595,433,1171,5640,2593
Stade Lavallois Mayenne FC,2015,4813,1883,866,780,6357,3221
Havre AC,2015,5563,2689,773,2534,12290,7235
RC Lens,2015,7261,3423,5019,2753,15681,16998
Nîmes Olympique,2015,5264,539,1283,1066,5504,2803
