ville,code_commune,departement,region,sport,club,fin_saison,division,classement,score_classement,capacite,taux_remplissage,score_event,nb_crea_entreprise,taux_chomage,salaire_median,class,coeff_division,score_sportif,salaire_median_norm,taux_chomage_norm,nb_crea_entreprise_norm,score_economique
Guingamp,22070,Côtes d'Armor,Bretagne,football,EA Guingamp,2016,1,16,16,18462,0.79,0.0,38,0.156,16489.0,0.25,1.0,0.737,0.11865742524962276,0.3246187363834422,0.0002418805110275524,0.20989327854708398
Troyes,10387,Aube,Champagne-Ardenne,football,Troyes,2012,2,3,23,20460,0.53,0.0,462,0.1409,16440.0,0.9,0.5,0.7190000000000001,0.11539590526149736,0.4342774146695715,0.004903577632649471,0.26574885825570943
Guingamp,22070,Côtes d'Armor,Bretagne,football,EA Guingamp,2012,2,7,27,18462,0.51,0.0,38,0.1091,16404.0,0.7,0.5,0.633,0.11299968649471134,0.6652142338416848,0.0002418805110275524,0.3779279317742407
Béziers,34032,Hérault,Languedoc-Roussillon,football,AS Béziers,2019,2,19,39,12000,0.23,0.0,1196,0.1463,16350.0,0.1,0.5,0.30900000000000005,0.10940535834453233,0.3950617283950616,0.012973591046023265,0.24777980305835534
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,football,RC Lens,2019,2,5,25,38223,0.69,0.0,326,0.1878,16310.0,0.8,0.5,0.7270000000000001,0.10674289304810343,0.0936819172113289,0.0034083162917518746,0.09124227397078176
Sochaux,25547,Doubs,Franche-Comté,football,FC Sochaux,2016,2,15,35,20005,0.45,0.0,16,0.1987,16266.0,0.3,0.5,0.455,0.10381418122203163,0.014524328249818419,0.0,0.048787836613721866
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,football,RC Lens,2018,2,14,34,38223,0.62,0.0,282,0.1889,15990.0,0.35,0.5,0.526,0.08544317067667222,0.08569353667392865,0.00292455526969677,0.07848631424248159
Sochaux,25547,Doubs,Franche-Comté,football,FC Sochaux,2014,1,18,18,20005,0.72,0.0,28,0.1984,15703.33,0.15,1.0,0.676,0.06636194751349038,0.016702977487291215,0.00013193482419684676,0.034962235161140186
Sochaux,25547,Doubs,Franche-Comté,football,FC Sochaux,2013,1,15,15,20005,0.67,0.0,23,0.1998,15694.0,0.3,1.0,0.7210000000000001,0.06574092748309834,0.006535947712418166,7.696198078149394e-05,0.029602825839839166
Sochaux,25547,Doubs,Franche-Comté,football,FC Sochaux,2015,2,10,30,20005,0.46,0.0,23,0.1985,15594.0,0.55,0.5,0.558,0.059084764242026085,0.015976761074800172,7.696198078149394e-05,0.031660767224601274
Sochaux,25547,Doubs,Franche-Comté,football,FC Sochaux,2012,1,14,14,20005,0.7,0.0,21,0.2007,15585.33,0.35,1.0,0.75,0.05850767488902512,0.0,5.497284341535282e-05,0.023430556377317724
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,football,RC Lens,2017,2,4,24,38223,0.76,0.0,219,0.1949,15470.0,0.85,0.5,0.768,0.050831121823096494,0.042120551924473504,0.0022318974426633244,0.042508673412807015
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,football,RC Lens,2016,2,6,26,38223,0.69,0.0,189,0.1932,15295.65,0.75,0.5,0.7070000000000001,0.03922610121228699,0.054466230936819016,0.0019020603821712073,0.043874586144409915
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,football,RC Lens,2015,1,20,20,38223,0.45,0.0,217,0.1921,15140.0,0.05,1.0,0.555,0.02886578312755805,0.06245461147421927,0.0022099083052971834,0.043878573140781446
Sedan,08409,Ardennes,Champagne-Ardenne,football,CS Sedan,2013,2,19,39,23189,0.23,0.0,147,0.1956,15132.0,0.1,0.5,0.30900000000000005,0.02833329006827227,0.03703703703703698,0.0014402884974822438,0.03057197879456852
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,football,RC Lens,2013,2,12,32,38223,0.42,0.0,245,0.1797,15108.0,0.45,0.5,0.506,0.02673581089041493,0.15250544662309362,0.0025177562284231588,0.08820592578192436
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,football,RC Lens,2014,2,2,22,38223,0.81,0.0,216,0.1833,15039.67,0.95,0.5,0.823,0.022187654547790262,0.1263616557734205,0.002198913736614113,0.0731553465741334
Boulogne-sur-Mer,62160,Pas-de-Calais,Nord-Pas-de-Calais,football,US Boulogne,2012,2,19,39,15004,0.55,0.0,275,0.1685,14927.69,0.1,0.5,0.405,0.014734082950437582,0.2338416848220768,0.0028475932889152756,0.12423827223567106
Sedan,08409,Ardennes,Champagne-Ardenne,football,CS Sedan,2012,2,4,24,23189,0.34,0.0,104,0.1866,14869.52,0.85,0.5,0.6420000000000001,0.010862192793105846,0.10239651416122009,0.0009675220441102096,0.05602689521990749
Lens,62498,Pas-de-Calais,Nord-Pas-de-Calais,football,RC Lens,2012,2,12,32,38223,0.57,0.0,228,0.1757,14706.33,0.45,0.5,0.5509999999999999,0.0,0.18155410312273057,0.0023308485608109593,0.09194247584177076
Pau,64445,Pyrénées-Atlantiques,Aquitaine,football,Pau FC,2023,2,12,32,4144,0.75,0.0,1234,,,0.45,0.5,0.605,,,0.013391384655979947,
Nice,06088,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,football,OGC Nice,2022,1,5,5,36178,0.53,0.0,10188,,,0.8,1.0,0.8790000000000001,,,0.11183675264419377,
Nice,06088,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,football,OGC Nice,2023,1,9,9,36178,0.62,0.0,9708,,,0.6,1.0,0.8260000000000001,,,0.1065593596763199,
Troyes,10387,Aube,Champagne-Ardenne,football,Troyes,2022,1,15,15,20460,0.47,0.0,938,,,0.3,1.0,0.661,,,0.01013699232579106,
Troyes,10387,Aube,Champagne-Ardenne,football,Troyes,2023,1,19,19,20460,0.49,0.0,913,,,0.1,1.0,0.587,,,0.009862128108714296,
Rodez,12202,Aveyron,Midi-Pyrénées,football,Rodez AF,2022,2,17,37,5955,0.24,0.0,371,,,0.2,0.5,0.35200000000000004,,,0.00390307188249005,
Rodez,12202,Aveyron,Midi-Pyrénées,football,Rodez AF,2023,2,14,34,5955,0.37,0.0,368,,,0.35,0.5,0.451,,,0.0038700881764408383,
